,Review,Rate,Device,Review_length
87,"rất tuyệt vời, mọi sản phẩm của apple đều hoàn hảo",5,iPhone X 64GB (No.00395596),40
88,Quá đẳng cấp,5,iPhone X 64GB (No.00395596),10
89,Không gì để chê,5,iPhone X 64GB (No.00395596),12
90,Dòng iphone về sau mẫu mã đẹp mắt dùng chất lượng tốt iphone X ra thay cho iphone 10,5,iPhone X 64GB (No.00395596),66
91,Dòng iphone về sau mẫu mã đẹp mắt dùng chất lượng tốt iphone X ra thay cho iphone 10,5,iPhone X 64GB (No.00395596),66
92,Quá tuyệt vời,5,iPhone X 64GB (No.00395596),11
93,bh có tek shop,5,iPhone X 64GB (No.00395596),11
94,Hơn cả mong đợi,5,iPhone X 64GB (No.00395596),12
95,Đẳng cấp mới,5,iPhone X 64GB (No.00395596),10
96,Cc nhà nghèo nói đại apple thụt cc,5,iPhone X 64GB (No.00395596),27
97,"iphone đã làm thay đổi thế giới thế nào khi xuất hiện 10 năm về trước. Sau 10 năm, iphone X lại có sự quan tâm ĐẶC BIỆT trên cộng đồng thế giới, mà biết bao hãng công nghệ khác khao khát có được. Tuyệt vời!",5,iPhone X 64GB (No.00395596),161
98,"iphone đã làm thay đổi thế giới thế nào khi xuất hiện 10 năm về trước. Sau 10 năm, iphone X lại có sự quan tâm ĐẶC BIỆT trên cộng đồng thế giới, mà biết bao hãng công nghệ khác khao khát có được. Tuyệt vời!",5,iPhone X 64GB (No.00395596),161
99,một bước thụt lùi của iphone,1,iPhone X 64GB (No.00395596),23
100,"Cực kỳ hài lòng với 8 plus, nhược điểm duy nhất là màn chỉ 5,5 inch nhưng là sản phẩm đáng mua nhất chỉ sau xs max. Hiệu năng ngon, mượt, ổn định, pin đang chờ test. Chị Thảo ở fpt phương lâm tp hoà bình còn tặng mình cường lực và ốp lưng. Mua hàng của fpt rất yên tâm về chế độ bảo hành. Cho luôn 10 sao.",5,iPhone 8 Plus 64GB (No.00395581),236
101,Vừa hết bảo hành thì lỗi. hãng báo thay hết 12tr. quá thất vọng về fpt. ko bao giờ quay lại đây lần thứ 2,1,iPhone 8 Plus 64GB (No.00395581),81
102,"khi dung iphon 8plus 64GB tuyet voi,pin ben ,dt thong minh, ct bao mat tyuet doi",5,iPhone 8 Plus 64GB (No.00395581),65
103,Ip 8plus loa có giống 7plus k ad.,5,iPhone 8 Plus 64GB (No.00395581),26
104,Shop ơi mình 22 tuổi và có đủ giấy tờ thì trả góp có yêu cầu điện thoại bố mẹ ko,5,iPhone 8 Plus 64GB (No.00395581),60
105,Phụ kiện bị cắt rắc chuyển đổi tai nghe rồi hả fpt shop,3,iPhone 8 Plus 64GB (No.00395581),43
106,"Hàng chính hãng, nguyên sills chất lượng tốt",5,iPhone 8 Plus 64GB (No.00395581),37
107,Trước đây FPT là tập đoàn lớn trong lĩnh vực di động. Nhưng nhờ cách cư xử của nhân viên mà ngày càng bị khách hàng rời xa.,1,iPhone 8 Plus 64GB (No.00395581),96
108,Fpt làm ăn k quy tính. Trả dt bên tô hiến thành mà bảo k có. Sim trợ giá thanh toán hết mà bảo chưa nản fpt quá. Từ nay k mua hàng fpt nữa. Sợ quá làm ăn k chung thực.,1,iPhone 8 Plus 64GB (No.00395581),126
109,Rất tuyệt pin trâu hơn x nhiều,5,iPhone 8 Plus 64GB (No.00395581),24
110,Camera sau bị vào bụi dù iphone có kháng bụi,2,iPhone 8 Plus 64GB (No.00395581),35
111,"Máy ko như quảng cáo , mình để túi đi trời mưa mà hư loa với mic , vậy khả năng chống nước ở đâu",1,iPhone 8 Plus 64GB (No.00395581),72
112,"TÔI ĐANG DÙNG, RẤT TỐT",5,iPhone 8 Plus 64GB (No.00395581),18
113,Có mua iPhone 5 ko vậy ad,4,iPhone 8 Plus 64GB (No.00395581),19
114,Bao lâu mới có màu đỏ,5,iPhone 8 Plus 64GB (No.00395581),16
115,Hỗ trợ tra góp 0% khi nào hết hạn,4,iPhone 8 Plus 64GB (No.00395581),25
116,Mình có mã giảm giá khi mua online. Vậy mình có đc áp dụng mua trả góp 0% nữa ko ạh.,4,iPhone 8 Plus 64GB (No.00395581),64
117,Mọi thứ đều ok,4,iPhone 8 Plus 64GB (No.00395581),11
118,Hàng có chính hãng ko,5,iPhone 8 Plus 64GB (No.00395581),17
119,"Mới mua 1 tháng 2 ngày, chết nguồn, vô trung tâm bảo hành nằm qua tết.",1,iPhone 8 Plus 64GB (No.00395581),55
120,máy dùng rất ok. xử lí nhanh và mượt hơn 6s plus trước của mình,5,iPhone 8 Plus 64GB (No.00395581),49
121,E mới mua iphone 8plus màu vàng được một tuần. Góc bên trái màn hình không khớp với vỏ thì có được bảo hành ko shop,4,iPhone 8 Plus 64GB (No.00395581),90
122,Trả góp giá bao nhiêu,5,iPhone 8 Plus 64GB (No.00395581),17
123,Dang dong tiền bo ra,4,iPhone 8 Plus 64GB (No.00395581),17
124,Quá mượt mà,5,iPhone 8 64GB (No.00395565),9
125,Chưa mua nhưng rất thích,5,iPhone 7 Plus 32GB (No.00269765),20
126,Còn màu vàng hồng ko shop,4,iPhone 7 Plus 32GB (No.00269765),20
127,Có giảm giá khi mua không shop,5,iPhone 7 Plus 32GB (No.00269765),24
128,sa em mua may 7plus ko co cap chuyen doi Jack Chuyển Đổi Cổng Lightning Sang Cổng 3.5 IPhone,4,iPhone 7 Plus 32GB (No.00269765),74
129,"Sao iphone 7plus128GB chỉ có 13.990,000 vậy shop",4,iPhone 7 Plus 32GB (No.00269765),41
130,Đang đợi e nó rớt xuống 11tr để mua :D,4,iPhone 7 Plus 32GB (No.00269765),29
131,Ad cho mình hỏi mua trả góp thì phải làm sao. 0974084756,4,iPhone 7 Plus 32GB (No.00269765),45
132,Khá hài lòng vs sản phẩm. Chơi liên quân máy chỉ ấm ở phần camera . pin ổn,5,iPhone 7 Plus 32GB (No.00269765),57
133,"Da mua duoc 2 ngay tại FPT Bắc Giang: nhân viên nhiệt tình, máy nhìn sang, chụp ảnh đẹp, pin trâu, cầm chắc tay",5,iPhone 7 Plus 32GB (No.00269765),88
134,Iphone 7 plus quá tốt,5,iPhone 7 Plus 32GB (No.00269765),17
135,Nếu có điều kiện thì nên xài 8 plus trở lên.,3,iPhone 7 Plus 32GB (No.00269765),34
136,"Xài gần 2 tuần cảm thấy quá ok, mình chọn con jet black nhìn sơ qua không khác gì ip 8 plus luôn hihi..với mua trúng hộp có cả jack chuyển đổi sang 3.5mm nữa, quá tuyệt. Mua hàng của FPT có nhiều màu hơn, nhiều sự lựa chọn. Hài lòng !",5,iPhone 7 Plus 32GB (No.00269765),183
137,Mới mua mà pin yếu xìu. Chán vãi.,1,iPhone 7 Plus 32GB (No.00269765),26
138,Rất đẹp và tốt... Nhưng không có tiền mua,5,iPhone 7 Plus 32GB (No.00269765),33
139,"Hiệu năng A10 đủ dùng vài năm nữa, nhưng máy nóng hơn iphone 7 với pin không được tốt lắm mặc dù dung lượng pin cao hơn iphone 7 nhiều.",3,iPhone 7 Plus 32GB (No.00269765),106
140,Trả góp thế nào ad trả tước bao nhiêu,4,iPhone 7 Plus 32GB (No.00269765),29
141,cho mình hỏi là ip7 plus có jack chuyển đổi công lightning qua 3.5 không ạ,4,iPhone 7 Plus 32GB (No.00269765),59
142,Máy hiệu năn khá hài lòng nhìn đẹp mắt thẩm Mỹ cao nhung pin xài nhanh hết nóng máy,4,iPhone 7 Plus 32GB (No.00269765),69
143,"Nên mua, mình thích họ trái táo khuyết này",5,iPhone 7 Plus 32GB (No.00269765),34
144,Sản phảm ở mỹ hào hưng yên còn k shop,4,iPhone 7 Plus 32GB (No.00269765),28
145,Hơn cả mong đợi. Ăn đứt mấy thằng tàu,5,iPhone 7 Plus 32GB (No.00269765),29
146,Cho hỏi máy chính hãng hay quốc tế ạ,5,iPhone 7 Plus 32GB (No.00269765),28
147,iPhone 6s plus màu ghi đưa tôi tới FPT shop tại ngyễn văn tiết lái thiêu và tôi lại you iPhone 7 plus tuyệt quá,5,iPhone 7 Plus 32GB (No.00269765),87
148,Mới mua ip7 32gb 4 ngày. Bg muốn đổi lên ip7 plus thì sao ạ,3,iPhone 7 Plus 32GB (No.00269765),45
149,Ước gì 7+32gb có thể giảm xuống tầm 13 cho tới 14 triệu nhỉ mình chỉ đang dành dụm được bằng đấy thôi cố nữa cũng không được đời máy cao hơn ra rôid mà sao máy này vẫn giữ giá vậy,3,iPhone 7 Plus 32GB (No.00269765),138
150,"Mình góp ý là sản phẩm tốt nhưng nếu để fpf shop tăng doanh thu vào cuối năm thì hơi khó, đa phần tín đồ công nghệ những doanh nhân hay người đã đi lm k nhiều chủ yếu là học sinh sinh viên và nhiều ng còn đi hk hoặc công nhân.. bỏ ra một số tiền lớn e rằng hơi khó.... Mình nghĩ 7 plus 32GB nên để 14,15tr thôi iphone X, XS XS max cũng ra rồi, Doanh nghiệp hay ng có thu nhập lớn họ sẽ chọn sản phẩm như X, X, XS max hơn là 7 plus còn những ng bình dân khó mà dư tiền mua đk sản phẩm này",3,iPhone 7 Plus 32GB (No.00269765),372
151,"Mua đc 3 ngày máy nhanh mượt, camera tốt, thiết kế đẹp mắt. Nhưng về khoảng pin thì mình chưa hài lòng pin xuống khá nhanh và sạc cũng rất lâu đầy. Trải nghiệm cũng chưa thật sự tốt",4,iPhone 7 Plus 32GB (No.00269765),143
152,Không có ip 7 plus 128 gb à shop,4,iPhone 7 Plus 32GB (No.00269765),26
153,Không có ip 7 plus 128 gb à shop,4,iPhone 7 Plus 32GB (No.00269765),26
154,"Máy chạy ổn định ,rất tuyệt vời",5,iPhone 7 Plus 32GB (No.00269765),25
155,Thanks .. Tuyệt vời 7 plus. Mượt . Ảnh đẹp.... Có điều khám phá mãi chưa hết các chức năng..,5,iPhone 7 Plus 32GB (No.00269765),73
156,Máy mới chưa biết hết các chức năng . Nên tạn thời đánh giá 4 sao !,4,iPhone 7 Plus 32GB (No.00269765),51
157,Bán hàng tư vấn rất nhiệt tình,5,iPhone 7 Plus 32GB (No.00269765),24
158,Mua trực tiếp tại cửa hàng thì được trừ 500000 đồng vào giá sản phẩm ạ?,5,iPhone 7 Plus 32GB (No.00269765),56
159,"iphone 7 plus 32g mình mua tại FPT shop cách đây gần 1 năm, bây h xài vẫn rất nhanh và mượt. Xét về hiệu năng thì khỏi phải bàn, máy chỉ có 1 nhược điểm là dễ tróc sơn thôi, mặc dù mình dùng rất kỹ (nhưng cũng ko quan trọng lắm, đeo ốp vào sẽ ko thấy).",5,iPhone 7 Plus 32GB (No.00269765),194
160,Update lên chán lắm,1,iPhone 7 Plus 32GB (No.00269765),16
161,pin sau update quá chán,1,iPhone 7 Plus 32GB (No.00269765),19
162,xuống 19 thì đẹp nữa,5,iPhone 7 Plus 32GB (No.00269765),20
163,Ad mình mua ip7 plus trả góp có cmnd bằng lái xe. Mình trả trước bao nhiu phần trăm,5,iPhone 7 Plus 32GB (No.00269765),65
164,Mua ip 7plus trả góp qua thẻ tín dụng FE đc ko ad. Thẻ xài hết tiền nhưng mình vẫn đóng tiền đều hàng tháng và không trễ. Mới đóng đc 2 tháng.,4,iPhone 7 Plus 32GB (No.00269765),110
165,Sơn la có hàng k shop trả góp 10% thì cần chứng minh với bằng lái xe à,5,iPhone 7 Plus 32GB (No.00269765),53
166,Mình muốn mua máy này trả góp 0% thì phải trả trước bao nhiêu và mỗi tháng trả bao nhiêu??,4,iPhone 7 Plus 32GB (No.00269765),71
167,Ad cho hỏi 7 plus bản đen nhám 32g ở tuy phong bình thuận còn hàng ko,4,iPhone 7 Plus 32GB (No.00269765),53
168,Cho mình hỏi muốn đặt trước sản phẩm thì làm thế nào? Và có khuyến mãi gì k?,4,iPhone 7 Plus 32GB (No.00269765),59
169,Mình muốn đặt cọc mua iphone 7 128gb có được ko Ad ơi???,4,iPhone 7 Plus 32GB (No.00269765),44
170,Mình muốn đặt cọc mua iphone 7 128gb có được ko Ad ơi???,4,iPhone 7 Plus 32GB (No.00269765),44
171,Tại sao mua Olnine lại rẻ hơn mua thường vậy shop?,5,iPhone 7 32GB (No.00269739),40
172,Quả là sự lựa chọn tuyệt vời. Nếu bạn đang băng khoăng hay thắt mắt nên chọn điện thoại nào để đi với mình trong thời gian tới thì mình nghĩ IP7 là lựa chọn tuyệt vời và hợp lý. Máy rất ngon mọi thứ đều ổn định nếu k muốn nói là rất ổn,5,iPhone 7 32GB (No.00269739),181
173,Có ip7 32G hàng 98.99%(hàng đổi trả) lhoong shop,5,iPhone 7 32GB (No.00269739),40
174,He dieu hanh nhin thay rat hai long. Nhin so 384 toi thay thick. Thi toi chon thoi.,5,iPhone 7 32GB (No.00269739),66
175,muôn mua makhongco tien <3,1,iPhone 7 32GB (No.00269739),22
176,muon tra gop ma khong du tuoi,1,iPhone 7 32GB (No.00269739),23
177,Fpt co ban tra gop 0% khi mua iPhone 7 32G bang the visa Citibank khong vay ban,5,iPhone 7 32GB (No.00269739),62
178,Em muốn mua Iphone 6s hoặc 6s plus tại FPT mà kiểm tra trên trang web đã hết bán. Thế cho em hỏi Shop là tại các cửa hàng còn hàng nữa k ạ. Thank shop nhiều nhiều ạ,5,iPhone 7 32GB (No.00269739),126
179,sao bên mình k có iphone 8?,4,iPhone 7 32GB (No.00269739),21
180,sao bên mình k có iphone 8?,4,iPhone 7 32GB (No.00269739),21
181,iPhone 6 plus cửa hàng mình không bán nữa à ad,3,iPhone 7 32GB (No.00269739),36
