,Review,Rate,Device,Review_length
94,"Tiền nào của nấy Máy dùng cực mượt mà, pin dùng liên tục hỗn hợp nhiều gane ứng dụng thì khoảng 6 tiếng Rất hài lòng với face ID và cải tiến mất nút home. Dùng từ thời 4s đến giờ cảm thấy 1 bước tiến lớn, rất lạ nhưng sau 1 - 2 tuần là quen dần dùng phà phà Cho 4 sao thui, chưa tới mức tuyệt vời vì tỉ lệ màn hình mới đôi khi gây khó chịu lắm. Mong apple sớm cải thiện cái này!!",4,iPhone X 64GB (No.00395596),291
95,Mình ở quãng ngãi muon muon iphonex 64 gb trả góp lãi xuat 0% thì dua truoc bao nhiu vay à,4,iPhone X 64GB (No.00395596),70
96,"dùng thich lắm,nhưng mỗi tội giá mắc quá....................................................",1,iPhone X 64GB (No.00395596),92
97,mk chưa dùng x bh nên ko có cảm nhận xấu gj về dòng iphone này có điều sản phẩm ok,4,iPhone X 64GB (No.00395596),74
98,Iphone X rất tuyệt vời dù tôi chưa dùng nó,5,iPhone X 64GB (No.00395596),33
99,dùng tốt chỉ có đều giá không dễ chịu,5,iPhone X 64GB (No.00395596),29
100,Qua tuiet voi,1,iPhone X 64GB (No.00395596),11
101,Máy xài rất tốt,5,iPhone X 64GB (No.00395596),12
102,Mua tại shop sài đc 1 tuan op lưng đầy đủ vẫn bị trầy viền,4,iPhone X 64GB (No.00395596),44
103,1) Những dòng iphone mới mua. 1-2 ngày đầu tốn pin nhanh là do hệ điều hành iOS đang settings các thông số ở background nên người dùng cảm thấy mới mua rất nhanh tốn pin. Qua 2 ngày thì mọi thứ trở nên bình thường. Nên mọi người mới mua iphone cần phải hiểu điều này. 2) Do màn hình có sự thay đổi về kích thước nên các ứng dụng trước đây chưa được các lập trình viên cập nhật lại. Tôi nghĩ khoảng vài tháng các app sẽ trở nên bình thường 3) FaceID mình nghĩ tương lai có thể control được nó trong settings 4) iphoneX kỷ niệm 10 năm nên thiết kế sẽ khác các mẫu trước. Các đội ngũ design apple chắc tính toán và test trải nghiệm người dùng rất nhiều mới quyết định có tai thỏ,5,iPhone X 64GB (No.00395596),532
104,viền dễ bị trầy :(,3,iPhone X 64GB (No.00395596),14
105,co toi rat hai long voi san pham nay toi se doi thieu ban be cung den mua hang`,5,iPhone X 64GB (No.00395596),61
106,tuy đẹp thật nhưng đôí với vài người thì hơi đắt,1,iPhone X 64GB (No.00395596),38
107,sản phẩm đẹp,5,iPhone X 64GB (No.00395596),10
108,"Viền kim loại dễ trầy quá,ai có thói quen cầm 1 tay sẽ rất mỏi ngón tay út.pin nóng nhanh hết pin khi sử dụng 4g(thua con 6s của mình)",3,iPhone X 64GB (No.00395596),105
109,Hoan Hô người vợ đẹp,5,iPhone X 64GB (No.00395596),16
110,"Tuyệt vời, màn hình đẹp, xử lý cực nhanh và mượt mà. Hàng Apple thì khỏi nói rồi. Quá ngon",5,iPhone X 64GB (No.00395596),71
111,"Hiện tại mình đang sử dụng 2 sản phẩm của apple là ip7Plus256 Black vs X 256 Gray, nói chung là rất tuyệt vời.",5,iPhone X 64GB (No.00395596),87
112,Đẳng cấp là mãi mãi!:)),5,iPhone X 64GB (No.00395596),19
113,Giá trên trời. Mua xách tay ngon hơn không khác gì,1,iPhone X 64GB (No.00395596),40
114,"rất tuyệt vời, mọi sản phẩm của apple đều hoàn hảo",5,iPhone X 64GB (No.00395596),40
115,"rất tuyệt vời, mọi sản phẩm của apple đều hoàn hảo",5,iPhone X 64GB (No.00395596),40
116,Quá đẳng cấp,5,iPhone X 64GB (No.00395596),10
117,Không gì để chê,5,iPhone X 64GB (No.00395596),12
118,Dòng iphone về sau mẫu mã đẹp mắt dùng chất lượng tốt iphone X ra thay cho iphone 10,5,iPhone X 64GB (No.00395596),66
119,Dòng iphone về sau mẫu mã đẹp mắt dùng chất lượng tốt iphone X ra thay cho iphone 10,5,iPhone X 64GB (No.00395596),66
120,Quá tuyệt vời,5,iPhone X 64GB (No.00395596),11
121,bh có tek shop,5,iPhone X 64GB (No.00395596),11
122,Hơn cả mong đợi,5,iPhone X 64GB (No.00395596),12
123,Đẳng cấp mới,5,iPhone X 64GB (No.00395596),10
124,Cc nhà nghèo nói đại apple thụt cc,5,iPhone X 64GB (No.00395596),27
125,"iphone đã làm thay đổi thế giới thế nào khi xuất hiện 10 năm về trước. Sau 10 năm, iphone X lại có sự quan tâm ĐẶC BIỆT trên cộng đồng thế giới, mà biết bao hãng công nghệ khác khao khát có được. Tuyệt vời!",5,iPhone X 64GB (No.00395596),161
126,"iphone đã làm thay đổi thế giới thế nào khi xuất hiện 10 năm về trước. Sau 10 năm, iphone X lại có sự quan tâm ĐẶC BIỆT trên cộng đồng thế giới, mà biết bao hãng công nghệ khác khao khát có được. Tuyệt vời!",5,iPhone X 64GB (No.00395596),161
127,một bước thụt lùi của iphone,1,iPhone X 64GB (No.00395596),23
128,"Cực kỳ hài lòng với 8 plus, nhược điểm duy nhất là màn chỉ 5,5 inch nhưng là sản phẩm đáng mua nhất chỉ sau xs max. Hiệu năng ngon, mượt, ổn định, pin đang chờ test. Chị Thảo ở fpt phương lâm tp hoà bình còn tặng mình cường lực và ốp lưng. Mua hàng của fpt rất yên tâm về chế độ bảo hành. Cho luôn 10 sao.",5,iPhone 8 Plus 64GB (No.00395581),236
129,Vừa hết bảo hành thì lỗi. hãng báo thay hết 12tr. quá thất vọng về fpt. ko bao giờ quay lại đây lần thứ 2,1,iPhone 8 Plus 64GB (No.00395581),81
130,"khi dung iphon 8plus 64GB tuyet voi,pin ben ,dt thong minh, ct bao mat tyuet doi",5,iPhone 8 Plus 64GB (No.00395581),65
131,Ip 8plus loa có giống 7plus k ad.,5,iPhone 8 Plus 64GB (No.00395581),26
132,Shop ơi mình 22 tuổi và có đủ giấy tờ thì trả góp có yêu cầu điện thoại bố mẹ ko,5,iPhone 8 Plus 64GB (No.00395581),60
133,Phụ kiện bị cắt rắc chuyển đổi tai nghe rồi hả fpt shop,3,iPhone 8 Plus 64GB (No.00395581),43
134,"Hàng chính hãng, nguyên sills chất lượng tốt",5,iPhone 8 Plus 64GB (No.00395581),37
135,Trước đây FPT là tập đoàn lớn trong lĩnh vực di động. Nhưng nhờ cách cư xử của nhân viên mà ngày càng bị khách hàng rời xa.,1,iPhone 8 Plus 64GB (No.00395581),96
136,Fpt làm ăn k quy tính. Trả dt bên tô hiến thành mà bảo k có. Sim trợ giá thanh toán hết mà bảo chưa nản fpt quá. Từ nay k mua hàng fpt nữa. Sợ quá làm ăn k chung thực.,1,iPhone 8 Plus 64GB (No.00395581),126
137,Rất tuyệt pin trâu hơn x nhiều,5,iPhone 8 Plus 64GB (No.00395581),24
138,Camera sau bị vào bụi dù iphone có kháng bụi,2,iPhone 8 Plus 64GB (No.00395581),35
139,"Máy ko như quảng cáo , mình để túi đi trời mưa mà hư loa với mic , vậy khả năng chống nước ở đâu",1,iPhone 8 Plus 64GB (No.00395581),72
140,"TÔI ĐANG DÙNG, RẤT TỐT",5,iPhone 8 Plus 64GB (No.00395581),18
141,Có mua iPhone 5 ko vậy ad,4,iPhone 8 Plus 64GB (No.00395581),19
142,Bao lâu mới có màu đỏ,5,iPhone 8 Plus 64GB (No.00395581),16
143,Hỗ trợ tra góp 0% khi nào hết hạn,4,iPhone 8 Plus 64GB (No.00395581),25
144,Mình có mã giảm giá khi mua online. Vậy mình có đc áp dụng mua trả góp 0% nữa ko ạh.,4,iPhone 8 Plus 64GB (No.00395581),64
145,Mọi thứ đều ok,4,iPhone 8 Plus 64GB (No.00395581),11
146,Hàng có chính hãng ko,5,iPhone 8 Plus 64GB (No.00395581),17
147,"Mới mua 1 tháng 2 ngày, chết nguồn, vô trung tâm bảo hành nằm qua tết.",1,iPhone 8 Plus 64GB (No.00395581),55
148,máy dùng rất ok. xử lí nhanh và mượt hơn 6s plus trước của mình,5,iPhone 8 Plus 64GB (No.00395581),49
149,E mới mua iphone 8plus màu vàng được một tuần. Góc bên trái màn hình không khớp với vỏ thì có được bảo hành ko shop,4,iPhone 8 Plus 64GB (No.00395581),90
150,Trả góp giá bao nhiêu,5,iPhone 8 Plus 64GB (No.00395581),17
151,Dang dong tiền bo ra,4,iPhone 8 Plus 64GB (No.00395581),17
152,Quá mượt mà,5,iPhone 8 64GB (No.00395565),9
153,Chưa mua nhưng rất thích,5,iPhone 7 Plus 32GB (No.00269765),20
154,Còn màu vàng hồng ko shop,4,iPhone 7 Plus 32GB (No.00269765),20
155,Có giảm giá khi mua không shop,5,iPhone 7 Plus 32GB (No.00269765),24
156,sa em mua may 7plus ko co cap chuyen doi Jack Chuyển Đổi Cổng Lightning Sang Cổng 3.5 IPhone,4,iPhone 7 Plus 32GB (No.00269765),74
157,"Sao iphone 7plus128GB chỉ có 13.990,000 vậy shop",4,iPhone 7 Plus 32GB (No.00269765),41
158,Đang đợi e nó rớt xuống 11tr để mua :D,4,iPhone 7 Plus 32GB (No.00269765),29
159,Ad cho mình hỏi mua trả góp thì phải làm sao. 0974084756,4,iPhone 7 Plus 32GB (No.00269765),45
160,Khá hài lòng vs sản phẩm. Chơi liên quân máy chỉ ấm ở phần camera . pin ổn,5,iPhone 7 Plus 32GB (No.00269765),57
161,"Da mua duoc 2 ngay tại FPT Bắc Giang: nhân viên nhiệt tình, máy nhìn sang, chụp ảnh đẹp, pin trâu, cầm chắc tay",5,iPhone 7 Plus 32GB (No.00269765),88
162,Iphone 7 plus quá tốt,5,iPhone 7 Plus 32GB (No.00269765),17
163,Nếu có điều kiện thì nên xài 8 plus trở lên.,3,iPhone 7 Plus 32GB (No.00269765),34
164,"Xài gần 2 tuần cảm thấy quá ok, mình chọn con jet black nhìn sơ qua không khác gì ip 8 plus luôn hihi..với mua trúng hộp có cả jack chuyển đổi sang 3.5mm nữa, quá tuyệt. Mua hàng của FPT có nhiều màu hơn, nhiều sự lựa chọn. Hài lòng !",5,iPhone 7 Plus 32GB (No.00269765),183
165,Mới mua mà pin yếu xìu. Chán vãi.,1,iPhone 7 Plus 32GB (No.00269765),26
166,Rất đẹp và tốt... Nhưng không có tiền mua,5,iPhone 7 Plus 32GB (No.00269765),33
167,"Hiệu năng A10 đủ dùng vài năm nữa, nhưng máy nóng hơn iphone 7 với pin không được tốt lắm mặc dù dung lượng pin cao hơn iphone 7 nhiều.",3,iPhone 7 Plus 32GB (No.00269765),106
168,Trả góp thế nào ad trả tước bao nhiêu,4,iPhone 7 Plus 32GB (No.00269765),29
169,cho mình hỏi là ip7 plus có jack chuyển đổi công lightning qua 3.5 không ạ,4,iPhone 7 Plus 32GB (No.00269765),59
170,Máy hiệu năn khá hài lòng nhìn đẹp mắt thẩm Mỹ cao nhung pin xài nhanh hết nóng máy,4,iPhone 7 Plus 32GB (No.00269765),69
171,"Nên mua, mình thích họ trái táo khuyết này",5,iPhone 7 Plus 32GB (No.00269765),34
172,Sản phảm ở mỹ hào hưng yên còn k shop,4,iPhone 7 Plus 32GB (No.00269765),28
173,Hơn cả mong đợi. Ăn đứt mấy thằng tàu,5,iPhone 7 Plus 32GB (No.00269765),29
174,Cho hỏi máy chính hãng hay quốc tế ạ,5,iPhone 7 Plus 32GB (No.00269765),28
175,iPhone 6s plus màu ghi đưa tôi tới FPT shop tại ngyễn văn tiết lái thiêu và tôi lại you iPhone 7 plus tuyệt quá,5,iPhone 7 Plus 32GB (No.00269765),87
176,Mới mua ip7 32gb 4 ngày. Bg muốn đổi lên ip7 plus thì sao ạ,3,iPhone 7 Plus 32GB (No.00269765),45
177,Ước gì 7+32gb có thể giảm xuống tầm 13 cho tới 14 triệu nhỉ mình chỉ đang dành dụm được bằng đấy thôi cố nữa cũng không được đời máy cao hơn ra rôid mà sao máy này vẫn giữ giá vậy,3,iPhone 7 Plus 32GB (No.00269765),138
178,"Mình góp ý là sản phẩm tốt nhưng nếu để fpf shop tăng doanh thu vào cuối năm thì hơi khó, đa phần tín đồ công nghệ những doanh nhân hay người đã đi lm k nhiều chủ yếu là học sinh sinh viên và nhiều ng còn đi hk hoặc công nhân.. bỏ ra một số tiền lớn e rằng hơi khó.... Mình nghĩ 7 plus 32GB nên để 14,15tr thôi iphone X, XS XS max cũng ra rồi, Doanh nghiệp hay ng có thu nhập lớn họ sẽ chọn sản phẩm như X, X, XS max hơn là 7 plus còn những ng bình dân khó mà dư tiền mua đk sản phẩm này",3,iPhone 7 Plus 32GB (No.00269765),372
179,"Mua đc 3 ngày máy nhanh mượt, camera tốt, thiết kế đẹp mắt. Nhưng về khoảng pin thì mình chưa hài lòng pin xuống khá nhanh và sạc cũng rất lâu đầy. Trải nghiệm cũng chưa thật sự tốt",4,iPhone 7 Plus 32GB (No.00269765),143
180,Không có ip 7 plus 128 gb à shop,4,iPhone 7 Plus 32GB (No.00269765),26
181,Không có ip 7 plus 128 gb à shop,4,iPhone 7 Plus 32GB (No.00269765),26
182,"Máy chạy ổn định ,rất tuyệt vời",5,iPhone 7 Plus 32GB (No.00269765),25
183,Thanks .. Tuyệt vời 7 plus. Mượt . Ảnh đẹp.... Có điều khám phá mãi chưa hết các chức năng..,5,iPhone 7 Plus 32GB (No.00269765),73
184,Máy mới chưa biết hết các chức năng . Nên tạn thời đánh giá 4 sao !,4,iPhone 7 Plus 32GB (No.00269765),51
185,Bán hàng tư vấn rất nhiệt tình,5,iPhone 7 Plus 32GB (No.00269765),24
186,Mua trực tiếp tại cửa hàng thì được trừ 500000 đồng vào giá sản phẩm ạ?,5,iPhone 7 Plus 32GB (No.00269765),56
187,"iphone 7 plus 32g mình mua tại FPT shop cách đây gần 1 năm, bây h xài vẫn rất nhanh và mượt. Xét về hiệu năng thì khỏi phải bàn, máy chỉ có 1 nhược điểm là dễ tróc sơn thôi, mặc dù mình dùng rất kỹ (nhưng cũng ko quan trọng lắm, đeo ốp vào sẽ ko thấy).",5,iPhone 7 Plus 32GB (No.00269765),194
188,Update lên chán lắm,1,iPhone 7 Plus 32GB (No.00269765),16
189,pin sau update quá chán,1,iPhone 7 Plus 32GB (No.00269765),19
